08738300	B-61291	ALMIRA NORTH BRIDGE	40400	0.04	47.713993	-118.941444
08738500	20930001	ABERNATHY CREEK BRIDGE 1	20930	1.40	46.208611	-123.152496
08750600	       51	Trump North Touchet	13890	0.17	46.271049	-117.89045
08754000	31E	SHINE CREEK	44760	0.25	47.870556	-122.695
08882700	8.5 SNW	HIGGINS LOOP	05150	1.84	47.736401	-120.151306
07985200	      101	WILSON CREEK RD @ RRXING	95037	1.63	47.422749	-119.131058
08815100	   102	Crab Creek at 16 NE	46750	5.52	47.319839	-119.356697
08314500	      103	ADRIAN WEST	94046	4.20	47.38287	-119.384857
08605800	      104	KNOPPS HILL	51600	0.40	47.541637	-119.266724
08821600	   105	R NE  0.5  North of 37	95037	17.59	47.634491	-119.10614
08467400	      106	36 NE  GIFFORD	95000	6.28	47.612263	-119.15316
08821700	108	39 NE @ R NE	53400	6.04	47.655838	-119.105667
08064300	      109	40 NE  Culverts	53900	2.73	47.670097	-119.090477
08653100	      112	W NE Culv @ Gr Cule Hill	95037	39.20	47.874676	-118.995148
08452000	      113	42 NE   LUTEN ARCH	53500	3.76	47.69899	-119.056587
08468400	      115	TRAIL LAKE	95025	8.70	47.53286	-119.289566
07983300	      116	BILLY CLAPP @ MAIN CANAL	51050	0.99	47.436337	-119.276924
08590900	      117	PINTO RIDGE @ MAIN CANAL	95025	0.62	47.431816	-119.319794
08257600	      119	ADRIAN EAST	94046	5.87	47.382137	-119.349304
08653200	      120	18 NE  @  East Low Canal	46780	1.50	47.35236	-119.309288
08322300	      121	20 NW  @  WEST CANAL	93032	1.66	47.383526	-119.511192
08609300	      122	19 NW  @  WEST CANAL	34200	2.43	47.368965	-119.522537
08475600	      123	B NW  @  WEST CANAL	93045	1.33	47.358635	-119.533333
08180700	      128	Q NE 2 MILES SOUTH OF 36	52250	11.10	47.5802	-119.127846
08609700	      130	R NE @ 39 NE	95037	18.97	47.655834	-119.105682
08732500	      131	S NE  1.0 S of 39 NE	53850	3.01	47.640953	-119.084595
08845700	132	R NE  0.1 North of 29 NE	95037	9.00	47.50959	-119.10685
08236600	      138	HIGH HILL RD	95015	1.23	47.401505	-119.468956
08329500	      151	X NE  Luten Arch	95035	23.96	47.465439	-118.984627
08320200	      152	X NE N of Fiess Road	50350	0.41	47.474239	-118.979118
08639400	      153	TURKEY RANCH ROAD	52500	4.18	47.509357	-119.017853
08711700	      154	W NE  0.2 S OF 16	95035	12.92	47.317356	-119.000305
08653300	      156	Fiess Rd @ X NE	52410	0.02	47.470348	-118.984772
08133900	      157	Stratford Rd @ East Low	94025	13.66	47.329018	-119.277061
08674000	      158	12 NE @ East Low Canal	94030	9.02	47.263905	-119.22979
08756000	   163	Cannawai Creek	52300	2.63	47.417931	-119.076202
08731400	      168	Sagebrush Giant Culvert	93047	0.79	47.325115	-119.566246
08731200	      172	SAGEBRUSH FLATS	93047	2.44	47.329197	-119.599815
08378800	      201	U SE  Double Box	92035	1.41	46.931679	-119.046547
08439200	      202	N NE  South of 7	44750	3.81	47.186749	-119.192566
08731800	      204	11 NE  @  V	45600	3.03	47.246998	-119.022278
08257100	      205	El Oro	92045	5.96	47.043423	-119.108452
08244100	      206	The Owl Bridge	92030	0.06	47.040829	-119.089958
08478400	      208	W NE  Ruff	95035	3.11	47.175404	-119.001862
07988800	      209	6 NE   Skewed Luten	44400	3.92	47.174099	-119.003242
08459200	      210	P NE    Eagle Scout	45250	0.64	47.182129	-119.15023
08115400	      211	U SE  Warden North	92035	5.53	46.981766	-119.045853
08102500	      212	U SE  Weber Coulee	92035	11.56	47.068974	-119.045097
08384200	      213	U SE  Lind Coulee	92035	7.91	47.016365	-119.045593
08179400	      214	GLOYD BRIDGE	94025	6.48	47.2253	-119.277512
08348200	      215	7 NE @ Crab Creek	94030	0.55	47.189693	-119.266045
08125000	      216	8 SE  Warden East	92047	1.20	46.9697	-119.015175
08381500	      217	N NE  Sugarmill	92025	3.07	47.102257	-119.193474
08073900	      218	LIND COULEE	92015	0.29	46.988415	-119.208405
08729900	      219	W SE  @  East Low Canal	24650	0.10	46.961525	-119.003212
08216500	      220	S SE  South of SR 170	20450	0.43	46.96373	-119.088539
08015900	      221	T SE North of 7 SE	25190	1.31	46.988579	-119.068756
08285500	      225	O NE South of Wheeler	43200	2.05	47.122227	-119.172073
08758000	   228	4 SE  New Burned	21880	0.35	47.028461	-119.208275
08407800	      229	M SE @ 5 SE	92015	2.23	47.014034	-119.215919
08617100	      230	M SE  Humped Up	92015	4.74	47.050385	-119.2155
08653400	      233	1 SE S of Basic American	21780	0.77	47.074657	-119.230865
08633900	      234	2 SE  West of M SE	20200	0.61	47.057793	-119.228416
08240600	      235	3 SE West of M SE	22000	5.49	47.042965	-119.227394
08254000	      236	4 SE  West of M SE	21860	2.12	47.028564	-119.22435
08409600	      237	5 SE West of M SE	92010	3.38	47.013844	-119.221855
08617000	      238	M SE    0.1 S of 5.5 SE	92015	1.57	47.004524	-119.216057
08151300	      239	Lind Coulee @ W & 8 SE	92049	0.13	46.968765	-119.000961
07988200	      240	Lind Coulee on 6 SE	25500	3.76	46.998894	-119.008461
08624900	      241	M NE @ East Low Canal	94030	5.94	47.230484	-119.213524
08383000	      242	8 NE @ East Low Canal	94020	1.13	47.203804	-119.18924
08010000	      243	6 NE @ East Low Canal	94010	0.87	47.174408	-119.174255
08802200	   244	3 NE  Wheeler	94000	4.98	47.13052	-119.17012
08590800	      245	Q NE North of I-90	43590	0.60	47.097801	-119.129303
08609500	      246	S NE @ North Frontage	43750	0.01	47.086967	-119.08699
08158300	      247	W SE @ East Low Canal	26530	1.98	47.056099	-119.002075
08397600	      248	11 SE @ East Low Canal	24500	4.21	46.926476	-119.082741
08047900	      250	1 SE   1st Rehab	23400	2.36	47.071686	-119.092857
08048400	      252	ROCKY COULEE WASTEWAY	94005	2.76	47.171131	-119.235123
07970700	      253	ROYAL ROOSTER	43050	1.84	47.162804	-119.256607
07991700	      254	WEST WEBER COULEE	22140	7.45	47.084728	-119.016945
07976400	      255	EAST WEBER COULEE	22140	8.95	47.084087	-118.985069
08633800	      294	BASELINE EAST	21700	1.90	47.087116	-119.238373
08653600	      295	RIDGEVIEW	44870	0.02	47.163071	-119.23568
08237700	      301	Cresent Bar West	31790	1.75	47.22472	-120.001999
08400300	      303	RED ROCK COULEE ROAD	91010	16.34	46.843414	-119.601868
07974200	      304	M SW SOUTH OF 12	11850	4.70	46.908566	-119.768883
07981400	      305	N SW @ 12.5	11750	0.49	46.906071	-119.790314
08729800	      306	Baird Springs Culverts	32300	20.01	47.259224	-119.972168
08453200	      308	Lower Lower Crab Creek	91010	5.77	46.831356	-119.8162
08087600	      309	U.7 NW  Rest Area	32150	0.23	47.233665	-119.958191
08134000	      310	Frenchmen Hill @ Tunnel	91035	15.60	46.977715	-119.66143
08223200	      311	9 NW @ Winchester WW	93020	2.82	47.220184	-119.707878
07989900	      312	5 NW at Winchester WW	93010	4.78	47.162449	-119.656746
08172800	      313	E SE at 14.8	20790	1.25	46.886795	-119.368828
08643600	      314	Wrecking Yard	37690	0.08	47.300247	-119.568367
08609400	      315	Martin Road @ West Canal	30400	16.32	47.280964	-119.583412
07963700	      316	F NW @ WEST CANAL	36910	0.06	47.26609	-119.618538
08379500	      317	I SW North of 11	12410	1.67	46.938267	-119.685196
08440200	      318	11 SW   0.7 E of K SW	91020	6.80	46.928371	-119.712006
08440400	      319	12 SW .2 East of K	10270	7.76	46.913898	-119.723038
08006000	      320	11.5 NW @ H NW	36900	5.13	47.260429	-119.661362
08798900	   321	D SE 1.7 mile S of 13 SE	20670	1.97	46.883812	-119.410835
08321700	      323	8 NW at the West Canal	31900	1.25	47.203953	-119.891151
08606000	      324	DODSON RD SOUTH OF HILL	91030	3.71	46.934559	-119.557854
08226100	      325	9 NW  SWIMMING HOLE	93020	8.21	47.221111	-119.59343
08406100	      326	R NW   North of 7 NW	30200	1.13	47.192272	-119.875183
08027400	      329	K NW @ 11.5 NW	30410	6.12	47.25864	-119.724991
07980900	      333	N NW  NORTH OF 11	32830	0.33	47.253521	-119.789482
08485300	      335	M NW  North of 12	32470	0.58	47.27	-119.768944
08634000	      336	P NW @ UPPER LATERAL	30350	9.73	47.270412	-119.83213
08634100	      337	P NW  Middle	30350	10.27	47.262589	-119.832115
08617200	      338	P NW .4 N of 11 NW	93035	1.44	47.25391	-119.8321
08437700	      339	Q NW @ UPPER LATERAL	32850	2.57	47.270401	-119.854935
08711400	      341	Q NW .1 N of 11	32850	1.14	47.249973	-119.853424
08452900	      342	12 NW  Rusty's Dad	30400	5.22	47.263458	-119.811287
08142500	      344	11 NW @ R	93030	0.98	47.247421	-119.875427
08609600	      345	QUINCY-2	01040	0.77	47.244354	-119.87516
08137500	      346	S NW @ 10.5 NW	31550	0.54	47.239243	-119.896675
08714600	      347	S NW  Blue Silos	31550	1.43	47.226379	-119.896706
08322200	      348	9 NW  Compost Plant	30250	1.66	47.218441	-119.889893
08419900	      350	R NW  ONION'S	30330	0.82	47.274364	-119.876213
08488600	      351	Martin Rd at R NW	30400	2.09	47.262554	-119.875435
